Tracking Number,Reference Number(s),Status,Manifest Date,Ship To Name,Ship To City,Ship To State/Province,Ship To Country,Service,Scheduled Delivery,Images,Alternate Address Delivery Notification Failed,Alternate Delivery Address Name,Alternate Delivery Address Phone,Alternate Delivery Address Address Line 1,Alternate Delivery Address Address Line 2,Alternate Delivery Address Address Line 3,Alternate Delivery Address City,Alternate Delivery Address State,Alternate Delivery Address Postal Code,Alternate Delivery Address Country,Alternate Tracking Number,Appointment Made,Appointment Requested Date,Appointment Requested Start Time,Appointment Requested End Time,Arrival Date,Arrival Time,Bill To Name,Bill To Account Number,Bill To Address Line 1,Bill To Address Line 2,Bill To Address Line 3,Bill To Address Line 4,Bill To Address Line 5,Bill To City,Bill To State,Bill To Postal Code,Bill To Country,Bill To Email Address,Bill To Fax Number,Bond Date,Bond Number,Booking Number,Carrier,Chargeable Weight,Chargeable Weight UOM,Charges,Class,Clinical Trials Indicator,COD Amount Collected,COD Amount Due,COD Collected Currency Type,Commercial Invoice Removal,Commodity,Container,Customer Pickup,Date Delivered,Declared Value,Delivery Location,Delivery Preference,Delivery Time,Departure Date,Departure Time,Description of Goods,Doc Indicator,Earliest Delivery Time,Exception Description,Exception Resolution,Exception Status Description,Flight/Voyage,Handling Unit,Harmonized Code,Hazardous Materials,Hold at UPS Access Point Shipments,In-bond Entry Code,Infectious Substances Category A,Insured  Value,Insured Value Currency Code,Label Delivery Method,Large Package,Liftgate on Pickup,Liftgate on Delivery,Load Type,Location Assured,Manufacture Country,Master Bill of Lading,Mode of Transportation,Number of Pieces,Number of Pieces - UOM,Original Scheduled Delivery Date,Original Scheduled Delivery Time,Package Height,Package Length,Package Width,Package Dimensional Weight,Package Reference No. 1,Package Reference No. 2,Package Reference No. 3,Package Reference No. 4,Package Reference No. 5,Package Reference No. Type 1,Package Reference No. Type 2,Package Reference No. Type 3,Package Reference No. Type 4,Package Reference No. Type 5,Package Release Code Required,Pickup By Date,Pickup Preference,Postal Service Tracking ID,Product,Product Line,Received By,Residential Address,Return Services,Return To Name,Return To Attention,Return To Address Line 1,Return To Address Line 2,Return To Address Line 3,Return To City,Return To State/Province,Return To Postal Code,Return To Country,Return To Telephone,Return To Sender Indicator,Revised Door ETA Date,Revised Door ETA Time,Saturday Delivery,Scheduled Delivery Time,Ship To Attention,Ship To Address Line 1,Ship To Address Line 2,Ship To Address Line 3,Ship-to Address Line 4,Ship-to Address Line 5,Ship To Postal Code,Ship-to Email Address,Ship-to Fax Number,Ship To Telephone,Shipment Activity Date,Shipment Activity Time,Shipment Charge Type,Shipment Reference No. 1,Shipment Reference No. 2,Shipment Reference No. Type 1,Shipment Reference No. Type 2,Shipment Type,Shipment Volume,Shipper Name,Ship To Location,Shipper Attention,Shipper Address Line 1,Shipper Address Line 2,Shipper Address Line 3,Shipper Address Line 4,Shipper Address Line 5,Shipper City,Shipper State/Province,Shipper Postal Code,Shipper Country,Shipper Email Address,Shipper Fax Number,Special Instructions,UPS carbon neutral,UPS Company Principal Customer Identification Number,UPS Delivery Intercept Indicator,UPS Delivery Intercept Origin,UPS Delivery Intercept Name of Requester,UPS Delivery Intercept Request Date,UPS Delivery Intercept Request Time,UPS Delivery Intercept Status,UPS Delivery Intercept Type,New Delivery Customer Name,New Delivery Attention,New Delivery Address 1,New Delivery Address 2,New Delivery Address 3,New Delivery City,New Delivery State/Province,New Delivery Postal Code,New Delivery Country,UPS Import Control Indicator,UPS Import Control Label Type,UPS Premium Care(TM),UPS Returns Flexible Access,UPS Returns ® Exchange,Vessel,Weight
1ZRV99086846484751,0,Delivered,7/18/2017,,STONEY CREEK,ON,CA,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,RV9908,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,RECEIVER,UPS will Deliver,11:31 AM,,--,ELECTRONICS,NO,--,PLEASE SEE THE EXCEPTION RESOLUTION-EXCEPTION STATUS DESCR.,YOUR PACKAGE WAS RELEASED BY THE CLEARING AGENCY.,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,JOE,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,L8E2R2,,,5595589024,7/25/2017,11:31 AM,Prepaid,,,,,,,,RV9908,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,28.10 LBS
1ZRV99086847630144,0,Delivered,7/18/2017,,WINDSOR,ON,CA,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,RV9908,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,CC,UPS will Deliver,9:42 AM,,--,ELECTRONICS,NO,--,PLEASE SEE THE EXCEPTION RESOLUTION-EXCEPTION STATUS DESCR.,YOUR PACKAGE WAS RELEASED BY THE CLEARING AGENCY.,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,CC,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,N8N2M1,,,5595589024,7/25/2017,9:42 AM,Prepaid,,,,,,,,RV9908,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,1.00 LBS
1Z059YX56840103719,0,In Transit,7/18/2017,,ST LAURENT,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,H4T1A5,,,5147352581,7/18/2017,7:32 PM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,2.70 LBS
1Z059YX56840357508,0,In Transit,7/18/2017,,LACHINE,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,H8T3H2,,,5595589024,7/18/2017,8:59 PM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,1.00 LBS
1Z059YX56841764558,0,Out for Delivery,7/18/2017,,ST FELICIEN,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,6,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,G8K0A0,,,5595589024,7/26/2017,7:24 AM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,17.10 LBS
1Z059YX56842306934,0,Delivered,7/18/2017,,ST JEROME,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/26/2017,No Value,RECEIVER,UPS will Deliver,10:38 AM,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,4,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,GUILLAUME,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,UNIT 400 & 500,,,,J5L0A0,,,5595589024,7/26/2017,10:38 AM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,33.10 LBS
1Z059YX56842364578,0,In Transit,7/18/2017,,ST LAURENT,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,2,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,H4T0A0,,,5147352581,7/18/2017,7:33 PM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,2.20 LBS
1Z059YX56842428768,0,Out for Delivery,7/18/2017,,ST FELICIEN,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,6,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,G8K0A0,,,5595589024,7/26/2017,7:24 AM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,4.60 LBS
1Z059YX56842795942,0,Out for Delivery,7/18/2017,,ST FELICIEN,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,6,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,G8K0A0,,,5595589024,7/26/2017,7:24 AM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,16.00 LBS
1Z059YX56842841525,0,Delivered,7/18/2017,,ST JEROME,QC,CA,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,059YX5,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/26/2017,No Value,RECEIVER,UPS will Deliver,10:38 AM,,--,ELECTRONICS,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,4,,7/26/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,UPS World Ease,,GUILLAUME,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,UNIT 400 & 500,,,,J5L0A0,,,5595589024,7/26/2017,10:38 AM,Prepaid,,,,,,,,059YX5,,,,,,,FRESNO,CA,93727-6868,US,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,23.10 LBS
